,predicted_return_ret_OPT,loan_amnt,funded_amnt,ret_OPT,grade,default,int_rate,annual_inc,dti,term,revol_bal,revol_util,inq_last_6mths,pct_tl_nvr_dlq,cr_hist,outcome
0,0.06795025042705499,12000.0,12000.0,0.05514520494423609,B,0,9.49,69681.0,3.6, 36 months,7582.0,38.9,3.0,88.2,283.0448263824719,False
1,0.09431013071389326,3625.0,3625.0,0.34119526965517294,E,0,18.54,44000.0,12.55, 36 months,1822.0,19.6,1.0,95.5,104.05141789359125,False
2,0.09402389247649531,24000.0,24000.0,0.09140716204046785,D,0,15.99,94000.0,19.3, 60 months,28941.0,63.7,0.0,100.0,113.0208012484856,False
3,0.06751510664109925,32000.0,32000.0,0.097732296300225,C,0,12.99,70000.0,8.04, 60 months,20692.0,25.8,1.0,100.0,309.952976447155,False
4,0.11092531689816187,8000.0,8000.0,0.056833338461538485,A,0,6.49,23473.0,8.54, 36 months,7033.0,52.1,0.0,100.0,118.96753526766463,False
5,0.11983050993996446,8100.0,8100.0,0.07117818623080506,C,0,13.35,40000.0,17.58, 36 months,3718.0,43.2,0.0,83.3,164.96437298507155,False
6,0.07660777396079935,13000.0,13000.0,0.09187477390610818,C,0,14.99,71000.0,28.62, 36 months,6698.0,80.7,0.0,91.3,141.99880901045196,False
7,0.09385564849994579,18000.0,18000.0,0.036705121327841365,A,0,7.12,90000.0,13.02, 36 months,24518.0,34.6,1.0,100.0,198.01638637343683,False
8,0.10742246189072358,18000.0,18000.0,0.09211229569672126,A,0,8.19,54000.0,18.53, 36 months,24475.0,40.3,1.0,100.0,207.01862461241504,False
9,0.07958932938916455,35000.0,35000.0,0.0477007752490767,B,0,9.17,70000.0,13.83, 36 months,5421.0,22.9,0.0,90.0,391.95876712047476,False
10,0.08826824785221102,28000.0,28000.0,0.10567404051029373,C,0,14.99,83000.0,7.95, 60 months,2160.0,18.2,0.0,90.2,256.0052567814534,False
11,0.06825877203644805,13600.0,13600.0,0.03959805887466213,A,0,7.49,55000.0,17.43, 36 months,15866.0,63.7,0.0,100.0,144.00295693956755,False
12,0.09316942294314322,35000.0,35000.0,0.06720843881628082,E,1,22.15,150000.0,19.79, 60 months,25846.0,91.7,0.0,100.0,92.97932195732972,True
13,0.0938127207753898,11125.0,11125.0,0.06870181547426339,C,0,12.99,82000.0,29.43, 36 months,16412.0,46.5,2.0,100.0,51.02363498223783,False
14,0.04152210501590038,21250.0,21250.0,0.060436458135206886,B,0,10.15,78800.0,29.3, 60 months,9316.0,40.0,0.0,100.0,98.00611922216062,False
15,0.11161408264061667,25000.0,25000.0,0.07085657264391414,C,0,13.35,75000.0,14.72, 36 months,7454.0,45.5,0.0,90.5,185.0387071603113,False
16,0.07850347137987439,6400.0,6400.0,0.07666026712163555,C,0,13.98,18828.0,36.58, 36 months,9100.0,23.0,1.0,88.9,452.9702868642067,False
17,0.0556470036639835,8500.0,8500.0,0.0668921001983359,B,0,8.67,65000.0,26.05, 36 months,48064.0,94.2,0.0,100.0,271.0199388077784,False
18,0.0728049506831104,17250.0,17250.0,0.17473155876123606,F,0,24.08,60000.0,23.22, 60 months,13090.0,96.2,0.0,100.0,151.03390213351403,False
19,0.08183189675238403,7500.0,7500.0,0.09911531716469851,C,0,13.35,43000.0,5.41, 36 months,5425.0,53.7,1.0,100.0,142.98445553296781,False
20,0.08012260058756099,12775.0,12775.0,-0.27519034572733203,D,1,15.99,25656.0,26.52, 36 months,7385.0,67.8,0.0,94.1,167.001375798271,True
21,0.0771442663006976,21300.0,21300.0,0.07897054352302983,C,0,13.98,47456.0,35.31, 60 months,36506.0,50.1,0.0,100.0,178.99340848888068,False
22,0.12294216684393662,14400.0,14400.0,0.09133335655593688,B,0,12.49,50000.0,15.75, 60 months,13798.0,73.0,0.0,100.0,148.01125279779873,False
23,0.09559310196875004,28000.0,28000.0,-0.16675814285714285,D,1,18.24,72000.0,27.35, 60 months,30910.0,80.9,0.0,100.0,119.98603667426435,True
24,0.09699180297973477,18000.0,18000.0,0.07043686917680426,C,0,12.99,77000.0,32.36, 36 months,35483.0,84.1,1.0,100.0,187.96279184377502,False
25,0.12123550056094301,35000.0,35000.0,0.13158294709493507,D,0,15.61,105000.0,27.86, 60 months,48016.0,53.4,0.0,96.7,271.9727304462104,False
26,0.08749884453426107,20000.0,20000.0,-0.0014252999999999885,C,1,12.39,80000.0,13.14, 60 months,8909.0,22.6,0.0,81.8,277.03238259512517,True
27,0.0765294694767164,10500.0,10500.0,-0.18221365079365076,B,1,9.17,58000.0,30.37, 36 months,7182.0,31.1,0.0,87.0,247.9558101809072,True
28,0.08869603895798983,18000.0,18000.0,0.045264920007685464,A,0,7.69,86000.0,7.87, 36 months,18039.0,84.7,0.0,100.0,187.0428550894269,False
29,0.10620012179694525,5000.0,5000.0,-0.12160066666666669,B,1,9.49,55000.0,28.54, 36 months,27683.0,36.2,0.0,91.3,217.99215589642498,True
30,0.05692955168068553,28200.0,28200.0,-0.06045595744680852,B,1,11.99,64105.0,19.34, 60 months,34718.0,86.6,0.0,100.0,191.0182960635742,True
31,0.0749728258189953,16750.0,16750.0,-0.1154593432835821,E,1,19.99,40000.0,34.44, 60 months,19138.0,71.9,1.0,100.0,145.02145834616726,True
